UserID,Q7S,Q10S,Q16S,Q18S
2,Details,Depends,Details,Client
3,Concision,TextPrimary,Corroborate,Threat
4,Relevance,,NA,Threat
5,Relevance,TextPrimary,Corroborate,Client
6,Relevance,Depends,,
7,Relevance,Both,Corroborate,Process
8,Concision,Both,,
9,Details,Both,Details,Client
10,Concision,ChartsPrimary,Details,Threat
11,Details,Both,Details,
12,Relevance,Depends,Corroborate,Threat
13,Relevance,TextPrimary,Corroborate,
14,Concision,ChartsPrimary,,Threat
15,Concision,ChartsPrimary,Corroborate,Client
16,Details,ChartsPrimary,Corroborate,Client
17,Concision,TextPrimary,Details,Process
18,Relevance,Depends,Corroborate,Client
19,Concision,Both,Details,Client
20,Relevance,Both,Corroborate,Threat
21,Relevance,Both,Details,Threat
22,Details,Both,Details,
23,,,,Threat
