User ID,"1. INFORMED CONSENT

You are being asked to complete a survey for research purposes. The survey is about customer preferences on analytic products. Completing this survey is voluntary and you can skip any questions or stop at any time by simpl...",2. How often do you interact with written reports.,3. In what format(s) do you usually receive written reports?,4. How often do the reports you read contain charts or graphical data representations?,"5. Do you interact with reports by making annotations, notes or highlighting?",6. How do you read reports?,"7. What makes a report useful, in your opinion?","8 - Below are examples of layouts that you might see in a report. Please enter the percentage of reports you currently receive that include these layouts. An example response would be: Layout 1 = 70%, Layout 2 = 30%.","9. Please refer to the layout images above and rank them in the order that you prefer them. Use 1 to indicate your most preferred layout and 4 to indicate your least preferred. An example response would be: Layout 1=3, Layout 2=4, Layout 3=2, Layout …",10. Please explain your rankings in question 9.,"11. Of the decision types listed below, please estimate the percentage of decision(s) you typically make for each. An example answer would be ""Strategic= 70%, Tactical= 10%, Operational=10%, Other=10%."" Note, percentages should add up to 100%.",12. Which layout format do you think is most ideal for Strategic decisions?,13. Which layout format do you think is most ideal for Tactical decisions?,14. Which layout do you think is most ideal for Operational decisions?,15. Which layout do you think is most ideal for Other decisions?,16. Describe the steps you take from reading a report to making a decision. What do you pay attention to in this process?,17. Do your reports have different levels of time sensitivity?,"18. If yes, describe how a time sensitive report might differ from a non-time sensitive report. ","19. Are you willing to be contacted by the research team with follow-up questions related to the responses you have given? If so, please enter your preferred contact information below.","20. Lastly, if you know someone whose input may be valuable for this study, we would be grateful if you would provide their name and contact information below."
1," Yes, I consent",Daily,Digital,Sometimes,No," Read all titles and headers first, Read the entire report from start to finish, Quickly scan and jump to the most important content",,,,," Strategic=50%, Tactical=10%, Operational=40%",Layout 1 (text then charts),Layout 3 (charts within text),Layout 3 (charts within text),Layout 3 (charts within text),,,,,
2," Yes, I consent",Daily,Digital,Never,No," Quickly scan and jump to the most important content, Read all titles and headers first","  As a customer, for cyber related reports, sections with key technical information like [redacted].",Layout 4 is what I usually receive.," Layout 1 = 2, Layout 2 = 1, layout 3 = 3 Layout 4 = 4"," For the technical information that is really useful to me, layout 1 would be ideal, where the technical information is in a chart/table either at the top or bottom.  Layout 3 and 4 do not appeal to me for viewing technical data."," Strategic = 0, Tactical = 40%, Operational = 60%",Layout 2 (charts then text),Layout 2 (charts then text),Layout 3 (charts within text),,"  I look for information in the report that is including actual information that can inform a decision.  For cyber related reports, I am looking for technical information.  If the technical information is of value, I will pass that to the appropriate organization for action.",Yes,"Depending on the situation, there are some activities that require an immediate response by the customer.  In fact, the decision window might be closing to get additional information and a decision might be made with the information at had, with a clear drop time and date.  Usually for our needs, the decision tree might have a very short window of mere hours or at most a day, possibly 2.",Redacted,Redacted
3," Yes, I consent",Daily,Digital," Most of the time, About half of the time",Yes," Read the entire report from start to finish, Read all titles and headers first"," When it is clear, concise and without bias."," Layout 1=20%
Layout 2 = 10%
Layout 3= 10%
Layout 4= 60%"," Layout 4=1
Layout 3=2
Layout 2=3
Layout 1=4",Most of the reports I consume are text based and do not require visual aides to convey the information.," Strategic 33.3
Tactical 33.3
Operational 33.3"," Layout 4 (text only, Layout 3 (charts within text)"," Layout 3 (charts within text), Layout 1 (text then charts), Layout 2 (charts then text)"," Layout 3 (charts within text), Layout 4 (text only",Layout doesn't matter,Who is reporting it the office/TOPI. Does not leave me wondering if their is more information the office is not reporting on.,Yes,Threat information example attack is happening at his time and location,Redacted,Redacted
4," Yes, I consent",Daily,Digital,About half of the time,No,Quickly scan and jump to the most important content," Giving me ""so what"" up front. Tagging people, places, things, selectors etc., to other relevant pages. “For example, tagging a person mentioned in a report with their [redacted] (database) profile.”",,,,,Layout 3 (charts within text)," Layout 3 (charts within text), Layout 1 (text then charts)",Layout 3 (charts within text),Layout 3 (charts within text),,Yes,report indicates an impending action or something that is fleeting / non-static,Redacted,Redacted
5," Yes, I consent",Daily,Digital,Sometimes,Yes,Quickly scan and jump to the most important content,Topic specific to my area of interest; specific details about topic discussed; proper documentation," Layout 1 = 45%, Layout 2 = 0%, Layout 3 = 10%, and Layout 4 = 45%"," Layout 1 = 2, Layout 2 = 4, Layout 3 = 3, and Layout 4 = 1",Layout 4 (text only) - information needed usually does not require charts so this is my preferred format. Layout 1 (text followed by chart)  - I would rather read the text and then use a chart (if needed) to clarify or enhance the information.  Layout 2 (charts followed by text) - this format is not as effective for me. I would most likely skip the chart and read the text first anyway.," Strategic - 0%, Tactical - 0%, Operational - 100%",Layout 4 (text only,Layout 1 (text then charts),Layout 1 (text then charts),Layout 1 (text then charts),Read the report (as needed) to ensure that I understand the problem set. Verify any information that is questionable. Consult with experts on the topic. Lay out possible solutions/decisions. Present to chain of command for consideration. I do not have any final decision-making authority.,Yes,Hours - if an answer to the CG to possibly weeks for more detailed feedback. It depends on the type of report/requirement.,Redacted,Redacted
6," Yes, I consent",Daily,Digital,Sometimes,No,Quickly scan and jump to the most important content," First and foremost that the content is relevant to my work. Second, assuming it is then granularity (specific details, attributes, history). Lastly, if the report can link to other related reports.",I only see Layout 3 above.,I only see Layout 3 above.,I only see one layout above.," Operational=50%, Tactical=30%, Strategic=20%",Layout doesn't matter,Layout 2 (charts then text),Layout 2 (charts then text),Layout 2 (charts then text),,Yes,,Redacted,Redacted
7," Yes, I consent",Daily,Digital,Most of the time,No," Quickly scan and jump to the most important content, Read all titles and headers first, Read the entire report from start to finish"," Report is useful when it clearly identifies and defines concepts and provides understanding into the locations, importance of the group/person/asset, insight into the need/value of the collection and has relevant accompanying graphics to amplify data.",Layout 1-15%; Layout 2 -0%; Layout 3-60%; Layout 4- 25%," Layout 1- 2
Layout 2- 4
Layout 3- 1
Layout 4- 3"," I prefer the images to flow throughout the report as the concept/entity is being discussed. If the charts/images can not be placed effectively through out the document. It is fine at the end. Reporting without any images/charts is something I frequently encounter, although not necessarily preferred.  But, there is never a time that I want the charts at the top of the document. It does not make sense."," Strategic 25%, Operational 25%, Tactical 25%, Research 25%",Layout 3 (charts within text),Layout 1 (text then charts),Layout 3 (charts within text),Layout doesn't matter," Read the report, correlate it to current effort, identify corroborating reporting, identify human networks and depict if applicable, conduct additional research, provide documentation and analysis to organization.",Yes," If the reporting is time sensitive I am more likely to scan the document only for key phrases and concepts to minimize time searching for new information. For a non time sensitive report, I have time read and reread the document several times, form complete analysis chains, and create long term analytical documents",Redacted,Redacted
8," Yes, I consent",Daily,Digital,Most of the time,No,Quickly scan and jump to the most important content," Clear, concise, and accurate."," Layout 1 = 50%, Layout 2 = 10%, Layout 3 = 10%, Layout 4 = 30%"," 1= 2, 2=1, 3=3, 4=4"," When needed, leading with a graphic consolidates the information to highlight what is most useful and to be able to quickly absorb it.",,Layout 2 (charts then text),Layout 2 (charts then text),Layout 2 (charts then text),Layout 2 (charts then text),,No,,Redacted,Redacted
9," Yes, I consent",Daily,Digital,Always,No,Read the entire report from start to finish,"  Detailed information from reliable sources. The more details provided, the better and more useful the report becomes to the analyst reading it.","  It's probably close to a very even split, Layout 1 = 25%, Layout 2 = 20%, Layout 3 = 25%, Layout 4 = 30%.",Layout 2 = 1st place; Layout 1 = 2nd place; Layout 3 = 3rd place; Layout 4 = 4th place.,"  I would also mention that in addition to ""charts and graphs"", I also consider any visual item in these layouts. So a photograph or mpeg could be substituted. I like visual things in reports, not just a ""wall of words"" text report."," Strategic = 10%; Tactical = 10%, Operational = 80%",Layout 2 (charts then text),Layout 2 (charts then text),Layout 2 (charts then text),Layout 3 (charts within text),"  Not quite sure I follow a series of steps. But a general process usually involves reading a report in its entirety. Reading associated or referenced reports and sources if available. Compiling all relevant information, and making a decision.",Yes,"  I don't know that the report itself has a different level of time sensitivity. But we do deal with request for information that are varying levels of time sensitivity. And depending on the amount of time given to answer a request, it may mean you have less time to read through lots of reporting. So ""shorter and succinct"" reports can be better for those situations. But details in reports are still needed to support assessments made.",Redacted,Redacted
10," Yes, I consent",Daily,Digital,Most of the time,Yes,Quickly scan and jump to the most important content," Concisely written and well-translated in a way that the reader can understand, good summary, includes a tearline."," layout 1 - 3 = 50%  layout 4 = 50%.  My memory can't really separate the first three.  In most cases, the reposts of most use have graphics."," layout = 3 is 1st, followed by 2 then 1 then 4",Graphics are usually pivotal in helping me understand and explain things,,Layout 3 (charts within text),Layout 3 (charts within text),Layout 3 (charts within text),Layout 3 (charts within text),I must recognize something in the text that can be operationalized or that relates to a specific customer's needs.,Yes,time sensitive reports need to be shared as soon as possible to prevent further infrastructure or financial losses.  non time sensitive reports are for situational awareness or target development.,Redacted,Redacted
